"","state","zip_code","kw_potential_for_median_house","yearly_solar_kwh_produced","estimated_avg_carbon_offset","estimated_percent_of_houses_qualified","num_customers","average_installation_cost","avg_house_price","average_monthly_consumption","price_per_kwh","impact","economical","savings","naive_model"
"3322","Georgia",30060,10.25,12417.43065,179096.2713,76.1568542393615,8133,11722,389500,1072,0.13,0.0162209152977279,0.34001921471186,-0.0219924584747878,0.117189526478159
"3323","Missouri",63122,9.75,12139.0956,239471.6742,95.1020799679701,14534,10701,243500,1039,0.11,0.0097191337888419,0.338013383998351,-0.0137057840470871,0.117112064171772
"3324","Colorado",80218,5.5,8095.199121,27203.55956,64.2968869441415,2203,12654,586100,704,0.13,0.0107738239008254,0.340549322483046,-0.0173745884738309,0.117084655189489
"3325","Pennsylvania",18083,8.75,9964.433789,1250.91871,89.2760610623203,101,11411,268100,851,0.14,0.00778253845458407,0.339293684213905,-0.0131298849797036,0.117083876764687
"3326","Rhode Island",2910,6,6840.543506,37449.10588,84.2095047461389,6389,11988,455500,585,0.22,0.00390477517064107,0.344719511169131,-0.0149562727200451,0.116986294436856
"3327","South Carolina",29201,9.75,12425.02825,176913.0343,87.9598351371769,5161,12210,360800,1078,0.13,0.0218620129309512,0.336917200593978,-0.0251641206313525,0.116967740067247
"3328","Washington",98204,11.75,11397.2939,49375.48926,94.7704996342208,6772,10390,605400,984,0.1,0.00431588509556929,0.344696862561059,-0.0155586771591916,0.116911284510596
"3329","Illinois",60616,7.25,8431.106628,111780.2582,86.5104101186875,5018,12388,266800,728,0.13,0.014444904066731,0.334011759469263,-0.0150152598313074,0.116906843446167
"3330","Pennsylvania",19014,8.5,9928.410059,97586.7209,85.947777533684,6225,11411,268100,851,0.14,0.0102321123384743,0.33801111350804,-0.0150404342001701,0.116823184421706
"3331","Alabama",36607,10.5,13233.64834,69342.65425,81.2960861623378,2795,10142,267100,1140,0.13,0.0171197568631876,0.337914363519641,-0.0219817377697386,0.116770449982886
"3332","Ohio",45102,9,10281.69214,87153.04883,84.430821169953,6670,10656,228000,879,0.13,0.00868169088545079,0.337410715142317,-0.0131150168558582,0.116744156767976
"3333","Texas",75204,9.5,12655.42277,46541.37332,74.2785061413509,2229,10967,336400,1094,0.12,0.0157693773663022,0.338641571655181,-0.0214830309684372,0.116726811854345
"3334","Indiana",46637,10,11032.42476,72672.15849,74.26770785803,4508,11322,242500,946,0.13,0.0121767871103011,0.336372312031399,-0.0157383062569573,0.116685746966895
"3335","Ohio",43617,9.5,10174.43463,45659.34031,68.1642121547036,2151,10656,228000,879,0.13,0.0174695365576562,0.333713616544031,-0.0183971893443734,0.116677041704498
"3336","New Jersey",7436,7,7948.141235,23596.84189,59.6248811453125,2731,10745,485900,687,0.16,0.00812930161980267,0.342494588306194,-0.0179327105561944,0.116643809648044
"3337","New Jersey",8401,6.25,7921.727112,89010.99852,78.8909636321368,5883,10745,485900,687,0.16,0.0107588572428056,0.341329653406416,-0.0195337340119461,0.116595985914339
"3338","New Jersey",7010,6.75,7970.153247,25413.52501,82.7994696524606,3034,10745,485900,687,0.16,0.00567505870382357,0.343465378098954,-0.0165985096243563,0.116591480805921
"3339","Colorado",80304,6.25,8121.636694,47483.089,69.5092998430435,5726,12654,586100,704,0.13,0.00669257563181394,0.341687136087764,-0.0160726020603507,0.116509152172914
"3340","South Carolina",29212,10,12566.08395,118277.6953,80.3653229086423,8829,12210,360800,1078,0.13,0.00935128350773599,0.34088175221631,-0.0182174691764729,0.116406935158071
"3341","Georgia",30345,10.5,12339.83038,54917.63679,50.9040368266641,3027,11722,389500,1072,0.13,0.0199938199284524,0.337825952053845,-0.0258140837511471,0.11640347175257
"3342","Missouri",64081,9.5,12107.28524,117923.138,89.6881428774911,7427,10701,243500,1039,0.11,0.00993114112605564,0.337085753040278,-0.0150313544092353,0.116396407559356
